#,utterance_id,translation,emotion_words,asl_gloss,count_asl_gloss,negative,wh_question,yes_no_question,topic_focus,conditional_when,role_shift,head_pos_tilt_fr_bk,head_pos_turn,head_pose_tilt_side,head_pose_jut,head_mvmt_nod,head_mvmt_nod_cycles,head_mvmt_shake,head_mvmt_side_to_side,head_mvmt_jut,body_lean,shoulders,face_eye_brows,face_eye_gaze,face_eye_aperture,face_nose,face_mouth,face_cheeks,count_face_eye_brows,count_face_eye_gaze,count_face_eye_aperture,count_face_nose,count_face_mouth,count_face_cheeks
1078832,19186446,Many different experiences with discovering the meanings of them.,,DIFFERENT;EXPERIENCE;(F)BELONG;WITH;MEAN,5,,,,,,,back;slightly back,left;slightly right;left;right,,,,,,,,slightly back,,,left;left;left;left,blink;squint;slightly wide;lowered lid;blink;slightly squinted;blink,,,,0,4,7,0,0,0
1078832,19209761,They will start to have the understanding by learning through experiences. We often use the Deaf people's experience through narratives to discuss the understanding of the American culture.,start;understanding;learning;understanding;culture,UNDERSTAND;LEARN;AND;USE;THAT;alt.UNDERSTAND;IX-1p;USE;MANY;DEAF;PEOPLE;POSS-3p-pl-arc;EXPERIENCE;THROUGH;STORY,15,,,,focus,,,,left;slightly right;slightly right;slightly right,slightly left;right;slightly right;right;slightly right;right,,,,,,,,,further raised,up;left;down/left;down/left;other,blink;wide;squint,,,,1,5,3,0,0,0
1078832,18755378,The set up of the two categories was based on Edward Hall's analysis from the idea he presented years ago.,,BELOW_2;ON;THAT;ANALYZE_3;FROM;(1)GENERATIONS-AGO;IDEA;SUGGEST;ns-fs-EDWARD;fs-HALL,10,,,,,,,,slightly right;slightly left,slightly right,,,,,,,,,lowered,,further lowered;squint;blink,,,,1,0,3,0,0,0
1078832,18455093,They are basically based on the idea of how human language is expressed.,,BELOW_2;ON;IDEA;HOW;fs-HUMAN;LANGUAGE;EXPRESS,7,,,,,,,,,right,,,,,,,back,,,down,further lowered;blink;slightly lowered,,,,0,1,3,0,0,0
1078832,19172155,And how they coped and navigated through the world and the feedbacks they received from others.,received,HOW;WHAT;THROUGH;FEEDBACK_3;5let's see,5,,whq,,focus,,,,right;left;slightly left,slightly right,,,,slight rapid head shake,,,,,slightly raised,left,squint;lowered lid;blink;blink;blink;blink;blink,,,,1,1,7,0,0,0
1078832,18858050,"However, more importantly, they also live in a different sensory world.",,BUT;MAYBE;MORE;IMPORTANT;5emphasis;LIVE;IN;DIFFERENT;fs-SENSORY;WORLD;5emphasis,11,,,,,,,,slightly right,slightly left,,,,,,forward;forward;forward,,,lowered;further lowered,,squint;slightly wide;further squinted;squint;blink;blink,,,,2,0,6,0,0,0
1078832,18436683,"There are two different orientation paths, they are based on what?",,THAT;TWO;DIFFERENT;(B)NEXT-TOPIC;fs-ORIENTATION;CURRENT-TOPIC;SET-UP;FROM;WHAT,9,,whq,,,,,,slightly left;right,slightly right;slightly right,,,,,,,,,raised-furrowed;further raised-furrowed,down/left;down;down/left;down/right;down/right;into space,further lowered;further squinted,,,,2,6,2,0,0,0
1078832,18903628,His idea was the basis for different cultures and their ways to interpret or give meaning to different sensory experiences.,,THAT;IDEA;SET-UP;REALLY;BELOW_2;DIFFERENT-arc;CULTURE;HAVE;DIFFERENT-arc;ALLOW;INTERPRET;OR;GIFT;MEAN;TO/UNTIL;DIFFERENT-arc;fs-SENSORY;EXPERIENCE;5you know,19,,,,focus,,,,,right;left;slightly left,,slight single head nod,,,,,,,lowered;slightly lowered;raised;lowered;slightly lowered,left;up/left;other;other,lowered lid;blink;further lowered;blink;further lowered;blink;further lowered;squint;squint;blink;blink,,,,5,4,11,0,0,0
1078832,18609233,"However, when the speech is used, they also use the gestures. It goes the same with sign language using the voice in their language.",speech,UNDERSTAND;IX-3p:i;TALKwg;MINOR;HAVE;ADD-TO;USE;GESTURE;SAME;ALSO;SIGN;MAJOR;HAVE;ADD-TO;USE;TWO;VOICE;CURRENT-TOPIC;HAVE;IX-3p:j;IX-honorific:j,21,,,,focus,when,,,left;right;further right;left,,,slight rapid head nod;rapid,,,,,,,raised;lowered;raised;lowered,,wide;squint;lowered lid;blink;further lowered,,,,4,0,5,0,0,0
1078832,18640471,The idea of the primary system for both spoken and sign language is set in their own ways.,primary;system,(5)FIRST-IN-LIST;THROUGH_2;TALKwg;(5)FIRST-IN-LIST;THROUGH_2;SIGN;ROAD;THAT;IDEA;SET-UP:i;SET-UP:j,11,,,,focus;focus,,,,,slightly left,,slight rapid head nod,,,,,,raised;raised,further raised;raised;lowered,,wide;squint;slightly squinted;lowered lid;slightly squinted;blink;closed,,,,3,0,7,0,0,0
1078832,18462814,It can be expressed through speech or through sign language.,speech,EXPRESS;THROUGH_2;TALKwg;MINOR;EXPRESS;SIGN;CURRENT-TOPIC;ROAD,8,,,,focus;focus,,,,slightly left;slightly right,slightly right,,,,,,,slightly forward,,slightly raised;raised,down;left;other;to addressee,slightly lowered;slightly lowered,,,,2,4,2,0,0,0
1078832,18626145,The idea is basically how the two modalities are different based on their primary message system and how people express them.,primary;system,IDEA;REALLY;MORE;TWO;DIFFERENT;SEPARATE;ROAD;SET-UP;ON;5let's see;(5)FIRST-IN-LIST;STORY;SYSTEM;HOW;EXPRESS,15,,,,,,,slightly back,,slightly right;right;slightly right,,,,,,,,,raised-furrowed,,blink;lowered lid;blink;lowered lid;blink;squint;blink;squint,,,,1,0,8,0,0,0
1078832,19320448,We will expand on the voice and control of sounds in connection with the experiences.,,THAT;EXPAND;EXPAND;EXPERIENCE;COOPERATE/UNITE;FIRST-IN-LIST;SECOND-IN-LIST,7,,,,,,,,,slightly left,,,,,,,,,lowered,left;other,further lowered;slightly squinted,,,,1,2,2,0,0,0
